"id","name","lon","lat","tz","province"
1,"St. John's",-52.724771,47.572965,"America/St_Johns","N"
2,"Gander",-54.611149,48.962769,"America/St_Johns","N"
3,"Bonavista",-53.107834,48.652524,"America/St_Johns","N"
4,"Marystown",-55.154409,47.163084,"America/St_Johns","N"
5,"Port aux Basques",-59.169539,47.586021,"America/St_Johns","N"
6,"Corner Brook",-57.936960,48.950189,"America/St_Johns","N"
7,"St. Anthony",-55.598030,51.371660,"America/St_Johns","N"
8,"Burgeo",-57.610689,47.613395,"America/St_Johns","N"
1,"HVGB",-60.372769,53.306535,"America/Halifax","L"
2,"Churchill Falls",-64.006352,53.530297,"America/Halifax","L"
3,"Labrador City",-66.914171,52.938946,"America/Halifax","L"
4,"Nain",-61.694772,56.542356,"America/Halifax","L"
5,"Mary's Harbour",-55.838087,52.305389,"America/Halifax","L"
1,"Halifax",-63.594928,44.654381,"America/Halifax","NS"
2,"Sydney",-60.187365,46.131195,"America/Halifax","NS"
3,"New Glasgow",-62.643838,45.589211,"America/Halifax","NS"
4,"Truro",-63.274061,45.364387,"America/Halifax","NS"
5,"Windsor",-64.136147,44.990493,"America/Halifax","NS"
6,"Yarmouth",-66.116804,43.837366,"America/Halifax","NS"
7,"Amherst",-64.207647,45.830980,"America/Halifax","NS"
1,"Saint John",-66.061862,45.276207,"America/Moncton","NB"
2,"Fredericton",-66.644076,45.959625,"America/Moncton","NB"
3,"Moncton",-64.777522,46.092766,"America/Moncton","NB"
4,"Bathurst",-65.650423,47.616684,"America/Moncton","NB"
5,"Edmundston",-68.323280,47.370844,"America/Moncton","NB"
1,"Montreal",-73.569203,45.498896,"America/Montreal","QC"
2,"Quebec City",-71.259150,46.798532,"America/Montreal","QC"
3,"Sherbrooke",-71.904693,45.403786,"America/Montreal","QC"
4,"Matane",-67.522379,48.845928,"America/Montreal","QC"
5,"Wemindji",-78.808488,53.001480,"America/Montreal","QC"
6,"Inukjuak",-78.104098,58.453818,"America/Montreal","QC"
7,"Salluit",-75.643352,62.205041,"America/Montreal","QC"
8,"Fermont",-67.086223,52.793660,"America/Montreal","QC"
1,"Toronto",-79.398744,43.651779,"America/Toronto","ON"
2,"Ottawa",-75.698114,45.411254,"America/Toronto","ON"
3,"Windsor",-83.038709,42.301534,"America/Toronto","ON"
4,"London",-81.234990,42.982098,"America/Toronto","ON"
5,"Sudbury",-80.990908,46.493396,"America/Toronto","ON"
6,"Thunder Bay",-89.251677,48.384144,"America/Toronto","ON"
7,"Dryden",-92.833383,49.779536,"America/Toronto","ON"
8,"Fort Severn",-87.625935,55.991427,"America/Toronto","ON"
9,"Moosonee",-80.640672,51.275167,"America/Toronto","ON"
10,"Sandy Lake",-93.327977,53.065066,"America/Toronto","ON"
1,"Winnipeg",-97.111825,49.882694,"America/Winnipeg","MB"
2,"Brandon",-99.946687,49.841602,"America/Winnipeg","MB"
3,"Churchill",-94.166021,58.768658,"America/Winnipeg","MB"
4,"Lac Brochet",-101.485007,58.619930,"America/Winnipeg","MB"
5,"Snow Lake",-100.015531,54.870813,"America/Winnipeg","MB"
1,"Saskatoon",-106.660913,52.126365,"America/Edmonton","SK"
2,"Regina",-104.617038,50.452852,"America/Edmonton","SK"
3,"Maple Creek",-109.479549,49.905666,"America/Edmonton","SK"
4,"Southend",-103.241858,56.328300,"America/Edmonton","SK"
5,"Stony Rapids",-105.835200,59.257612,"America/Edmonton","SK"
6,"Meadow Lake",-108.433283,54.126806,"America/Edmonton","SK"
1,"Calgary",-114.0719,51.0447,"America/Edmonton","AB"
2,"Edmonton",-113.4937,53.5461,"America/Edmonton","AB"
3,"Lethbridge",-112.8451,49.6956,"America/Edmonton","AB"
4,"Medicine Hat",-110.676667,50.040833,"America/Edmonton","AB"
5,"Red Deer",-113.811852,52.286952,"America/Edmonton","AB"
6,"Banff",-115.569683,51.179128,"America/Edmonton","AB"
7,"Fort McMurray",-111.372076,56.7241,"America/Edmonton","AB"
8,"Grande Prairie",-118.790088,55.170897,"America/Edmonton","AB"
1,"Vancouver",-123.117064,49.243755,"America/Vancouver","BC"
2,"Victoria",-123.352995,48.429200,"America/Vancouver","BC"
3,"Abbotsford",-122.314890,49.051288,"America/Vancouver","BC"
4,"Kelowna",-119.483178,49.878806,"America/Vancouver","BC"
5,"Fort Neslon",-122.697179,58.807057,"America/Vancouver","BC"
6,"Prince Rupert",-130.325324,54.308298,"America/Vancouver","BC"
7,"Prince George",-122.763590,53.910630,"America/Vancouver","BC"